record_id,timestamp,shipment_id,candidate_route_id,origin,destination,cargo_type,cargo_weight_kg,cost_sar,total_transit_time_hours,capacity_available_kg,reliability_score,num_connections,priority,airline,distance_km,weather_risk_score,season,load_factor,shc_code,optimization_score
RTE_004773,2025-08-05 19:32:00,SHP_001057,CR_02,BRU,JED,Valuable,419.41,20784.39,6.39,7619.35,0.83,0,Standard,Korean Air Cargo,4520,0.49,Summer,0.64,VAL,0.948
RTE_018883,2025-11-01 21:19:00,SHP_004187,CR_05,MIA,JED,Heavy,10847.6,87163.23,18.35,16206.48,0.83,1,Express,Saudia Cargo,11400,0.2,Monsoon,0.63,ELM,0.927
RTE_007701,2025-07-24 21:21:00,SHP_001712,CR_02,NBO,JED,Perishable,383.84,10049.77,8.02,2767.98,0.77,1,Express,Korean Air Cargo,2400,0.39,Summer,0.98,PER,0.818
RTE_005019,2025-09-24 13:28:00,SHP_001113,CR_04,BOM,JED,Pharmaceutical,2082.98,27322.03,10.03,4108.46,0.77,1,Express,Cathay Cargo,3650,0.34,Monsoon,0.79,PER,0.602
RTE_001475,2025-06-21 09:38:00,SHP_000326,CR_03,HKG,JED,Perishable,2309.91,29662.66,11.22,12711.95,0.88,0,Standard,Cathay Cargo,7800,0.34,Summer,0.78,ICE,0.908
RTE_004967,2025-07-29 04:11:00,SHP_001101,CR_01,CAI,JED,Perishable,1448.87,11631.46,6.42,7845.09,0.8,1,Standard,Qatar Airways Cargo,1220,0.35,Summer,0.65,FRO,0.72
RTE_006242,2025-06-18 23:19:00,SHP_001392,CR_04,DEL,JED,Heavy,9949.46,63084.74,5.18,16434.45,0.85,0,Express,Saudia Cargo,3900,0.34,Summer,0.68,ELM,0.949
RTE_000475,2025-06-04 23:55:00,SHP_000105,CR_02,FRA,JED,Dangerous,3190.18,31382.9,6.45,5342.91,0.84,0,Standard,Korean Air Cargo,4200,0.4,Summer,0.78,DGR,0.904
RTE_019607,2025-03-24 12:29:00,SHP_004355,CR_03,JFK,JED,General,419.45,26223.91,14.09,11096.51,0.91,0,Standard,Singapore Airlines Cargo,10200,0.24,Spring,0.63,GEN,0.915
RTE_003317,2025-06-06 07:37:00,SHP_000730,CR_06,AUH,JED,Dangerous,1642.79,9061.77,11.36,5495.08,0.73,2,Standard,Emirates SkyCargo,1650,0.32,Summer,0.63,CAO,0.592
RTE_002715,2025-04-29 05:29:00,SHP_000599,CR_01,RUH,JED,Perishable,983.3,7526.06,12.13,10355.15,0.75,2,Standard,Qatar Airways Cargo,850,0.27,Spring,0.78,ICE,0.54
RTE_008919,2025-12-16 14:54:00,SHP_001982,CR_01,BRU,JED,Pharmaceutical,914.19,16644.71,9.45,10432.34,0.84,1,Standard,Lufthansa Cargo,4520,0.16,Winter,0.59,ICE,0.902
RTE_005702,2026-02-05 15:24:00,SHP_001270,CR_02,DXB,JED,Valuable,1009.44,7961.14,13.28,3458.54,0.72,2,Economy,Turkish Cargo,1700,0.23,Winter,0.82,VAL,0.642
RTE_005949,2025-10-12 23:18:00,SHP_001326,CR_02,AUH,JED,Valuable,292.9,8619.49,7.18,1151.23,0.81,1,Standard,Qatar Airways Cargo,1650,0.26,Monsoon,0.85,VAL,0.939
RTE_004060,2025-07-05 21:57:00,SHP_000897,CR_05,LHR,JED,Perishable,271.68,17047.06,6.52,2365.73,0.87,0,Express,Emirates SkyCargo,4740,0.37,Summer,0.76,PER,0.983
RTE_019104,2025-05-22 10:00:00,SHP_004239,CR_03,JFK,JED,Heavy,8648.07,59902.34,13.55,9989.79,0.85,0,Economy,Etihad Cargo,10200,0.39,Summer,0.57,ELM,0.771
RTE_010629,2025-12-07 00:32:00,SHP_002351,CR_01,LAX,JED,Perishable,1979.62,39685.22,25.51,5336.02,0.85,1,Standard,Etihad Cargo,13400,0.17,Winter,0.62,ICE,0.95
RTE_011389,2026-01-17 10:03:00,SHP_002520,CR_05,DOH,JED,Perishable,814.24,8374.89,3.34,4862.66,0.91,0,Standard,Saudia Cargo,1320,0.19,Winter,0.66,PER,0.905
RTE_016458,2026-02-24 19:48:00,SHP_003646,CR_02,NBO,JED,Heavy,5740.53,25915.63,8.18,15296.7,0.83,1,Standard,Qatar Airways Cargo,2400,0.26,Winter,0.85,ELI,0.733
RTE_011064,2025-10-06 18:30:00,SHP_002449,CR_02,BOM,JED,General,825.72,9355.96,10.06,6683.75,0.78,1,Economy,Turkish Cargo,3650,0.26,Monsoon,0.91,GEN,0.926
RTE_019136,2025-07-19 12:52:00,SHP_004247,CR_02,KWI,JED,Perishable,171.25,6116.96,7.19,4984.45,0.78,1,Express,Korean Air Cargo,1250,0.42,Summer,0.6,PER,0.611
RTE_020850,2025-06-27 01:28:00,SHP_004634,CR_04,LAX,JED,Heavy,6887.88,63361.18,24.56,10253.19,0.81,1,Economy,Qatar Airways Cargo,13400,0.37,Summer,0.8,ELM,0.902
RTE_016656,2025-05-30 09:10:00,SHP_003687,CR_03,DXB,JED,Valuable,547.47,8321.95,6.52,4005.86,0.74,1,Standard,Cathay Cargo,1700,0.4,Summer,0.67,VAL,0.725
RTE_017358,2025-10-13 23:13:00,SHP_003844,CR_05,PVG,JED,Perishable,1448.68,32153.53,16.24,1548.68,0.79,1,Standard,Emirates SkyCargo,8750,0.23,Monsoon,0.85,PER,0.497
RTE_002584,2025-04-06 10:11:00,SHP_000569,CR_03,ADD,JED,Dangerous,4803.23,25571.32,7.2,6787.42,0.81,1,Standard,Etihad Cargo,1650,0.32,Spring,0.72,DGR,0.723
RTE_008410,2025-07-18 05:13:00,SHP_001872,CR_06,ADD,JED,Dangerous,2303.19,13519.14,4.16,3262.83,0.85,0,Standard,Etihad Cargo,1650,0.38,Summer,0.66,DGR,0.704
RTE_002880,2025-05-04 23:09:00,SHP_000634,CR_01,IST,JED,General,3566.38,19477.35,7.0,5194.68,0.76,1,Standard,Cargolux,2400,0.45,Summer,0.68,GEN,0.558
RTE_003395,2025-09-30 20:01:00,SHP_000748,CR_04,MIA,JED,Valuable,929.38,55903.33,19.46,4211.37,0.78,1,Express,Saudia Cargo,11400,0.32,Monsoon,0.93,VAL,0.609
RTE_005217,2025-04-20 18:08:00,SHP_001159,CR_01,PVG,JED,Valuable,1090.97,39353.91,14.29,7532.45,0.85,0,Standard,Singapore Airlines Cargo,8750,0.31,Spring,0.62,VAL,0.922
RTE_005171,2025-12-17 17:00:00,SHP_001147,CR_02,IST,JED,Pharmaceutical,156.47,8073.75,7.1,3925.52,0.82,1,Standard,Lufthansa Cargo,2400,0.18,Winter,0.76,ICE,0.804
RTE_005765,2025-08-05 06:14:00,SHP_001285,CR_01,CDG,JED,Perishable,2398.41,24922.58,10.56,12964.95,0.74,1,Express,Turkish Cargo,4470,0.49,Summer,0.64,PER,0.788
RTE_000386,2025-07-30 09:28:00,SHP_000086,CR_04,CDG,JED,General,1300.49,15765.94,6.13,5011.61,0.84,0,Standard,Saudia Cargo,4470,0.37,Summer,0.75,GEN,0.941
RTE_020082,2025-08-27 11:04:00,SHP_004465,CR_04,LHR,JED,Pharmaceutical,884.69,17483.46,9.04,3831.16,0.75,1,Standard,Saudia Cargo,4740,0.42,Summer,0.7,ICE,0.685
RTE_002768,2025-05-24 04:18:00,SHP_000609,CR_04,JFK,JED,Valuable,1338.84,36679.33,14.4,7710.97,0.86,0,Standard,Singapore Airlines Cargo,10200,0.46,Summer,0.54,VAL,0.96
RTE_015818,2025-06-13 02:15:00,SHP_003498,CR_04,MIA,JED,Valuable,1060.26,63874.95,17.0,10489.1,0.89,0,Express,Singapore Airlines Cargo,11400,0.36,Summer,0.92,VAL,0.865
RTE_019719,2025-12-04 20:09:00,SHP_004383,CR_03,SIN,JED,Heavy,10195.0,72739.89,17.1,21114.49,0.85,1,Express,Cargolux,7100,0.17,Winter,0.75,ELM,0.703
RTE_011137,2025-04-09 23:11:00,SHP_002465,CR_03,JFK,JED,Pharmaceutical,1491.68,34723.91,19.18,8617.27,0.78,1,Standard,Lufthansa Cargo,10200,0.27,Spring,0.71,ICE,0.707
RTE_007047,2025-12-13 08:50:00,SHP_001566,CR_04,LHR,JED,Heavy,5159.68,30592.93,12.15,6759.94,0.81,1,Standard,Turkish Cargo,4740,0.18,Winter,0.62,ELM,0.605
RTE_015537,2025-06-10 10:01:00,SHP_003436,CR_02,HKG,JED,Heavy,8463.36,62525.14,11.4,19355.87,0.83,0,Economy,Emirates SkyCargo,7800,0.34,Summer,0.61,ELM,0.864
RTE_008740,2025-06-02 17:17:00,SHP_001943,CR_03,LAX,JED,Heavy,6074.94,58480.15,18.36,13872.9,0.85,0,Standard,Singapore Airlines Cargo,13400,0.32,Summer,0.71,ELI,0.905
RTE_006780,2025-08-07 04:33:00,SHP_001506,CR_02,IST,JED,Valuable,1296.42,15454.91,14.17,11239.73,0.69,2,Standard,Cargolux,2400,0.5,Summer,0.76,VAL,0.622
RTE_004485,2025-08-23 20:35:00,SHP_000991,CR_03,NBO,JED,Dangerous,2751.8,16072.5,9.31,3855.27,0.75,1,Standard,Singapore Airlines Cargo,2400,0.48,Summer,0.88,DGR,0.594
RTE_016607,2025-12-20 22:24:00,SHP_003677,CR_02,RUH,JED,Dangerous,2284.69,18990.5,5.57,14448.4,0.8,1,Express,Cargolux,850,0.18,Winter,0.68,CAO,0.673
RTE_013898,2025-07-17 15:25:00,SHP_003076,CR_04,FRA,JED,Dangerous,2524.35,22825.37,7.01,8607.34,0.86,0,Standard,Cathay Cargo,4200,0.36,Summer,0.53,DGR,0.959
RTE_003949,2026-02-01 11:00:00,SHP_000874,CR_02,LHR,JED,Dangerous,3642.85,33155.79,14.39,6793.92,0.76,2,Standard,Lufthansa Cargo,4740,0.22,Winter,0.73,CAO,0.54
RTE_015894,2025-04-15 12:35:00,SHP_003515,CR_02,PVG,JED,Perishable,523.32,16947.16,17.06,10246.86,0.83,1,Economy,Emirates SkyCargo,8750,0.31,Spring,0.86,ICE,0.712
RTE_018399,2026-01-03 18:36:00,SHP_004078,CR_01,HKG,JED,Pharmaceutical,2495.8,46717.83,15.09,9784.75,0.83,1,Express,Turkish Cargo,7800,0.23,Winter,0.59,PER,0.691
RTE_002572,2025-10-02 02:03:00,SHP_000567,CR_01,MIA,JED,Dangerous,2532.08,45505.44,20.44,6889.44,0.78,1,Standard,Qatar Airways Cargo,11400,0.25,Monsoon,0.71,DGR,0.913
RTE_005231,2025-10-13 15:58:00,SHP_001162,CR_01,ORD,JED,General,1298.91,27835.64,20.49,6381.39,0.79,1,Standard,Emirates SkyCargo,10650,0.24,Monsoon,0.67,GEN,0.757
RTE_018530,2025-04-04 05:34:00,SHP_004107,CR_03,MAD,JED,Dangerous,1302.33,14374.05,13.38,11435.62,0.78,1,Economy,Etihad Cargo,5180,0.28,Spring,0.69,DGR,0.952
RTE_007913,2025-06-25 08:33:00,SHP_001760,CR_05,NRT,JED,Perishable,1651.7,22702.28,19.44,5430.71,0.78,1,Economy,Cathay Cargo,9500,0.37,Summer,0.63,PER,0.719
RTE_005972,2025-08-22 06:58:00,SHP_001332,CR_02,BOM,JED,General,2874.37,11058.62,5.33,5186.3,0.83,0,Economy,Lufthansa Cargo,3650,0.43,Summer,0.8,GEN,0.855
RTE_003231,2025-09-26 16:34:00,SHP_000711,CR_04,FRA,JED,General,609.96,12351.11,6.27,10694.68,0.87,0,Standard,Saudia Cargo,4200,0.27,Monsoon,0.72,GEN,0.936
RTE_011454,2025-10-07 03:07:00,SHP_002534,CR_04,BOM,JED,Valuable,447.99,21274.13,12.34,6881.39,0.8,1,Express,Emirates SkyCargo,3650,0.28,Monsoon,0.64,VAL,0.575
RTE_007749,2025-12-04 04:44:00,SHP_001724,CR_02,CAI,JED,Dangerous,4610.7,34907.23,3.05,4710.7,0.91,0,Standard,Qatar Airways Cargo,1220,0.21,Winter,0.67,CAO,0.744
RTE_010903,2025-10-23 07:36:00,SHP_002411,CR_03,LAX,JED,General,1974.16,46925.01,21.32,9829.17,0.83,1,Express,Etihad Cargo,13400,0.24,Monsoon,0.61,GEN,0.941
RTE_012518,2025-11-15 02:00:00,SHP_002768,CR_02,DOH,JED,General,616.82,5280.74,4.46,10019.74,0.83,1,Standard,Singapore Airlines Cargo,1320,0.23,Monsoon,0.76,GEN,0.79
RTE_017872,2025-06-23 05:54:00,SHP_003957,CR_02,NBO,JED,General,736.58,7385.84,10.11,2369.97,0.76,1,Economy,Cathay Cargo,2400,0.37,Summer,0.78,GEN,0.887
RTE_018054,2025-07-09 09:13:00,SHP_003999,CR_06,AMS,JED,General,370.27,13118.11,6.56,3623.21,0.87,0,Standard,Saudia Cargo,4620,0.39,Summer,0.5,GEN,0.967
RTE_002798,2025-03-07 19:17:00,SHP_000615,CR_02,KWI,JED,Valuable,563.65,6804.83,7.59,7846.29,0.81,1,Standard,Lufthansa Cargo,1250,0.27,Spring,0.77,VAL,0.788
RTE_014607,2025-11-05 13:59:00,SHP_003233,CR_01,AMS,JED,Perishable,2762.04,16138.58,12.58,4667.82,0.85,1,Economy,Lufthansa Cargo,4620,0.18,Monsoon,0.79,FRO,0.695
RTE_006445,2025-11-01 13:29:00,SHP_001433,CR_04,JNB,JED,Perishable,765.93,29314.95,12.17,4674.37,0.79,1,Express,Turkish Cargo,6400,0.22,Monsoon,0.71,PER,0.648
RTE_009381,2025-04-25 08:55:00,SHP_002082,CR_01,ICN,JED,Valuable,644.76,28657.11,16.24,1823.17,0.78,1,Standard,Saudia Cargo,8500,0.26,Spring,0.7,VAL,0.687
RTE_017516,2025-08-10 00:05:00,SHP_003880,CR_04,LHR,JED,Valuable,340.78,24972.94,11.37,6324.5,0.73,1,Express,Saudia Cargo,4740,0.46,Summer,0.89,VAL,0.743
RTE_001490,2025-03-13 14:29:00,SHP_000329,CR_05,JNB,JED,Heavy,3451.52,29196.13,9.08,10367.51,0.89,0,Standard,Lufthansa Cargo,6400,0.21,Spring,0.65,ELI,0.923
RTE_006271,2025-08-21 12:52:00,SHP_001398,CR_05,BRU,JED,Heavy,8812.3,39542.87,12.29,14448.5,0.77,1,Standard,Cargolux,4520,0.46,Summer,0.76,ELI,0.694
RTE_002175,2025-05-27 10:48:00,SHP_000478,CR_03,JFK,JED,General,372.36,16758.4,17.22,10630.17,0.85,0,Economy,Cathay Cargo,10200,0.38,Summer,0.51,GEN,0.927
RTE_006533,2025-12-08 00:11:00,SHP_001452,CR_02,NBO,JED,Dangerous,3186.78,19867.84,4.26,6344.67,0.93,0,Express,Etihad Cargo,2400,0.2,Winter,0.78,CAO,0.901
RTE_014488,2025-04-19 13:42:00,SHP_003207,CR_03,MIA,JED,Pharmaceutical,1154.43,43978.06,22.1,11995.48,0.78,1,Standard,Emirates SkyCargo,11400,0.29,Spring,0.73,PER,0.951
RTE_019984,2025-09-23 18:24:00,SHP_004443,CR_05,HKG,JED,Dangerous,4240.1,46427.64,15.23,12904.52,0.76,1,Standard,Etihad Cargo,7800,0.35,Monsoon,0.68,CAO,0.672
RTE_003283,2026-02-20 12:21:00,SHP_000723,CR_01,FRA,JED,Pharmaceutical,1935.49,22874.19,12.04,11031.49,0.84,1,Standard,Cathay Cargo,4200,0.2,Winter,0.74,ICE,0.981
RTE_015322,2025-07-08 10:26:00,SHP_003388,CR_03,ADD,JED,Dangerous,3337.16,22298.21,5.09,9896.19,0.75,1,Standard,Cargolux,1650,0.35,Summer,0.61,CAO,0.93
RTE_017506,2025-04-19 13:17:00,SHP_003878,CR_02,ADD,JED,General,2789.58,12706.65,7.48,11368.88,0.78,1,Economy,Cargolux,1650,0.31,Spring,0.61,GEN,0.911
RTE_003920,2025-05-07 10:22:00,SHP_000868,CR_02,PVG,JED,Perishable,400.95,30377.69,13.42,9076.93,0.82,0,Express,Cargolux,8750,0.43,Summer,0.74,PER,0.783
RTE_014306,2025-11-13 02:21:00,SHP_003168,CR_01,ICN,JED,Perishable,229.13,37935.84,13.23,9411.83,0.92,0,Express,Emirates SkyCargo,8500,0.17,Monsoon,0.66,FRO,0.937
RTE_000650,2025-07-16 20:26:00,SHP_000144,CR_02,ICN,JED,Perishable,2016.11,28915.64,18.35,10904.58,0.77,1,Standard,Qatar Airways Cargo,8500,0.35,Summer,0.55,ICE,0.899
RTE_010646,2026-01-02 14:44:00,SHP_002355,CR_01,AUH,JED,Pharmaceutical,1563.59,13649.08,10.05,6707.48,0.8,1,Standard,Cathay Cargo,1650,0.23,Winter,0.84,PER,0.807
RTE_012752,2025-11-01 03:52:00,SHP_002821,CR_01,CAI,JED,Heavy,5763.78,34532.76,2.25,18565.32,0.88,0,Express,Korean Air Cargo,1220,0.25,Monsoon,0.76,ELI,0.933
RTE_009533,2025-06-23 14:36:00,SHP_002113,CR_06,JNB,JED,Heavy,9340.02,55726.16,15.38,19788.24,0.76,1,Economy,Cathay Cargo,6400,0.37,Summer,0.74,ELM,0.566
RTE_019054,2025-09-11 10:32:00,SHP_004227,CR_05,BRU,JED,Heavy,8002.19,37073.65,15.4,16454.32,0.73,2,Standard,Singapore Airlines Cargo,4520,0.3,Monsoon,0.63,ELI,0.68
RTE_016415,2025-07-27 05:50:00,SHP_003635,CR_06,DXB,JED,General,3177.05,17264.29,8.29,3277.05,0.78,1,Standard,Turkish Cargo,1700,0.37,Summer,0.74,GEN,0.553
RTE_006312,2025-09-29 03:26:00,SHP_001406,CR_04,PVG,JED,Perishable,2624.46,28990.59,15.19,6774.77,0.8,1,Standard,Korean Air Cargo,8750,0.28,Monsoon,0.66,FRO,0.7
RTE_014977,2025-09-23 14:12:00,SHP_003314,CR_05,NBO,JED,Perishable,1180.39,14661.79,4.16,11429.69,0.88,0,Standard,Saudia Cargo,2400,0.32,Monsoon,0.64,PER,0.925
RTE_015147,2025-03-13 09:43:00,SHP_003353,CR_01,AUH,JED,Dangerous,1433.03,12617.27,6.27,9218.98,0.82,1,Express,Lufthansa Cargo,1650,0.25,Spring,0.61,DGR,0.666
RTE_002617,2025-03-28 11:57:00,SHP_000578,CR_05,ATL,JED,Heavy,4535.93,60234.13,17.47,13654.89,0.91,0,Standard,Emirates SkyCargo,11100,0.2,Spring,0.61,ELI,0.964
RTE_008867,2025-12-19 10:23:00,SHP_001971,CR_03,BRU,JED,Dangerous,4248.58,25751.5,11.12,5217.85,0.82,1,Standard,Qatar Airways Cargo,4520,0.18,Winter,0.79,DGR,0.629
RTE_016318,2026-01-22 05:45:00,SHP_003613,CR_03,ATL,JED,Dangerous,2634.53,57922.05,23.55,7752.54,0.8,1,Express,Korean Air Cargo,11100,0.2,Winter,0.77,DGR,0.492
RTE_011001,2025-12-05 19:00:00,SHP_002434,CR_03,SIN,JED,General,348.03,10229.42,14.35,2234.74,0.75,2,Economy,Turkish Cargo,7100,0.22,Winter,0.82,GEN,0.69
RTE_007802,2025-12-07 04:07:00,SHP_001735,CR_03,ATL,JED,Perishable,2103.32,41257.58,21.06,6091.78,0.84,1,Express,Turkish Cargo,11100,0.22,Winter,0.74,FRO,0.798
RTE_010251,2025-12-17 04:33:00,SHP_002270,CR_02,NRT,JED,Valuable,153.75,35149.79,15.57,10089.88,0.89,0,Standard,Etihad Cargo,9500,0.21,Winter,0.74,VAL,0.888
RTE_001458,2025-07-20 01:12:00,SHP_000323,CR_02,ADD,JED,Pharmaceutical,2202.72,15812.23,7.46,11240.47,0.78,1,Standard,Emirates SkyCargo,1650,0.43,Summer,0.59,PER,0.656
RTE_015825,2025-11-17 04:27:00,SHP_003499,CR_06,DOH,JED,Heavy,4574.85,14365.5,6.46,9920.14,0.8,1,Standard,Singapore Airlines Cargo,1320,0.23,Monsoon,0.7,ELM,0.777
RTE_006224,2025-04-30 21:41:00,SHP_001389,CR_02,ORD,JED,Heavy,4675.83,58874.36,16.07,8768.3,0.88,0,Standard,Korean Air Cargo,10650,0.29,Spring,0.8,ELI,0.946
RTE_012268,2025-04-27 16:11:00,SHP_002713,CR_02,BOM,JED,Dangerous,471.13,10407.04,6.11,3094.52,0.87,0,Economy,Lufthansa Cargo,3650,0.25,Spring,0.87,DGR,0.915
RTE_004169,2025-05-24 19:42:00,SHP_000923,CR_02,ORD,JED,Heavy,8798.74,84866.11,19.38,12717.98,0.78,1,Express,Cargolux,10650,0.43,Summer,0.8,ELM,0.504
RTE_004845,2025-12-10 13:11:00,SHP_001074,CR_01,MAD,JED,General,1900.0,23295.79,7.46,11516.21,0.91,0,Express,Qatar Airways Cargo,5180,0.18,Winter,0.59,GEN,0.94
RTE_013663,2026-01-11 12:28:00,SHP_003023,CR_05,ICN,JED,Dangerous,1672.14,53862.76,13.05,6975.61,0.87,0,Express,Singapore Airlines Cargo,8500,0.21,Winter,0.76,CAO,0.837
RTE_004681,2025-05-15 10:32:00,SHP_001034,CR_03,BRU,JED,Pharmaceutical,80.11,12472.49,13.17,2823.21,0.68,2,Standard,Korean Air Cargo,4520,0.45,Summer,0.79,ICE,0.593
RTE_006493,2025-05-31 06:34:00,SHP_001444,CR_03,PVG,JED,Valuable,1304.92,32065.49,18.21,11363.52,0.75,1,Standard,Saudia Cargo,8750,0.45,Summer,0.75,VAL,0.65
RTE_016432,2025-06-02 20:00:00,SHP_003639,CR_03,ICN,JED,General,688.62,17319.04,14.38,3217.43,0.87,0,Economy,Singapore Airlines Cargo,8500,0.35,Summer,0.65,GEN,0.988
RTE_019549,2026-01-14 18:44:00,SHP_004343,CR_02,ATL,JED,Valuable,1111.34,46201.96,19.08,8377.3,0.83,1,Standard,Singapore Airlines Cargo,11100,0.23,Winter,0.8,VAL,0.871
RTE_018714,2026-02-18 10:42:00,SHP_004148,CR_04,IST,JED,Valuable,956.32,16734.95,3.43,8869.86,0.87,0,Express,Turkish Cargo,2400,0.22,Winter,0.76,VAL,0.975
RTE_002555,2025-10-08 04:40:00,SHP_000563,CR_06,JNB,JED,Pharmaceutical,1740.07,21027.29,13.08,6371.56,0.83,1,Standard,Qatar Airways Cargo,6400,0.29,Monsoon,0.67,ICE,0.743
RTE_000745,2025-08-29 06:58:00,SHP_000165,CR_03,SIN,JED,Pharmaceutical,1770.7,23293.52,13.29,9659.61,0.74,1,Standard,Singapore Airlines Cargo,7100,0.46,Summer,0.59,ICE,0.939
RTE_007673,2026-01-29 02:38:00,SHP_001707,CR_01,DEL,JED,General,2490.16,16816.64,6.2,3782.36,0.9,0,Standard,Korean Air Cargo,3900,0.21,Winter,0.66,GEN,0.837
RTE_014009,2025-08-21 07:31:00,SHP_003100,CR_04,ADD,JED,Valuable,545.53,12892.68,2.59,8869.2,0.84,0,Express,Turkish Cargo,1650,0.46,Summer,0.69,VAL,0.949
RTE_018315,2025-08-23 18:13:00,SHP_004058,CR_06,DOH,JED,Pharmaceutical,2069.51,16750.8,2.27,8470.33,0.83,0,Economy,Cargolux,1320,0.43,Summer,0.74,ICE,0.762
RTE_015731,2026-01-27 03:24:00,SHP_003478,CR_05,CAI,JED,Heavy,8187.82,35718.46,7.58,12484.6,0.8,1,Standard,Cargolux,1220,0.18,Winter,0.61,ELI,0.637
RTE_011669,2025-05-19 13:12:00,SHP_002581,CR_04,JFK,JED,General,1608.59,19200.86,20.05,2024.93,0.77,1,Economy,Emirates SkyCargo,10200,0.4,Summer,0.74,GEN,0.545
RTE_001979,2026-02-01 16:04:00,SHP_000436,CR_04,AUH,JED,Perishable,1411.8,10986.05,7.45,3303.08,0.79,1,Express,Singapore Airlines Cargo,1650,0.23,Winter,0.74,FRO,0.587
RTE_004825,2026-01-22 04:40:00,SHP_001069,CR_01,ATL,JED,Dangerous,3112.65,51354.21,22.48,7291.63,0.83,1,Express,Singapore Airlines Cargo,11100,0.24,Winter,0.54,DGR,0.903
RTE_015074,2025-12-13 01:24:00,SHP_003335,CR_06,SIN,JED,Dangerous,653.17,36804.12,15.5,5398.02,0.81,1,Express,Qatar Airways Cargo,7100,0.21,Winter,0.72,CAO,0.625
RTE_005818,2025-04-26 01:06:00,SHP_001296,CR_02,MAD,JED,Valuable,1480.88,34866.79,7.26,7315.18,0.89,0,Express,Korean Air Cargo,5180,0.26,Spring,0.7,VAL,0.896
RTE_011604,2025-05-30 05:43:00,SHP_002568,CR_04,RUH,JED,Dangerous,3483.82,14932.46,1.22,10978.3,0.85,0,Standard,Emirates SkyCargo,850,0.39,Summer,0.68,CAO,0.958
RTE_019330,2025-11-15 19:18:00,SHP_004290,CR_04,JNB,JED,Heavy,4743.09,32261.63,14.11,11946.77,0.81,1,Standard,Qatar Airways Cargo,6400,0.18,Monsoon,0.55,ELM,0.767
